MD	TVD	TVDSS	NS	EW	x	y
0.00	0.00	-63.70	0.00	0.00	667912.10	5867747.75
94.98	94.98	31.28	0.00	0.00	667912.10	5867747.75
119.05	119.05	55.35	-0.05	0.00	667912.10	5867747.70
133.25	133.25	69.55	-0.15	0.01	667912.11	5867747.60
144.35	144.35	80.65	-0.22	0.08	667912.18	5867747.53
152.83	152.83	89.13	-0.24	0.18	667912.28	5867747.51
181.93	181.92	118.22	-0.03	0.94	667913.04	5867747.72
210.85	210.79	147.09	0.58	2.38	667914.48	5867748.33
240.03	239.87	176.17	1.68	4.59	667916.69	5867749.43
268.73	268.38	204.68	3.45	7.29	667919.39	5867751.20
297.63	297.00	233.30	5.86	10.56	667922.66	5867753.61
326.33	325.34	261.64	8.46	14.25	667926.35	5867756.21
355.03	353.62	289.92	11.01	18.39	667930.49	5867758.76
383.73	381.83	318.13	13.46	23.10	667935.20	5867761.21
412.53	410.11	346.41	15.84	27.99	667940.09	5867763.59
441.03	438.06	374.36	17.97	33.11	667945.21	5867765.72
469.93	466.32	402.62	19.61	38.96	667951.05	5867767.36
498.73	494.34	430.64	20.55	45.54	667957.64	5867768.30
527.33	522.06	458.36	20.73	52.55	667964.65	5867768.48
555.93	549.67	485.97	20.12	59.99	667972.08	5867767.87
584.43	577.00	513.30	18.72	67.94	667980.03	5867766.47
613.23	604.41	540.71	16.52	76.50	667988.60	5867764.27
641.79	631.41	567.71	13.59	85.35	667997.44	5867761.34
660.21	648.73	585.03	11.43	91.22	668003.31	5867759.18
688.91	675.49	611.79	7.70	100.90	668013.00	5867755.45
717.81	702.08	638.38	3.30	111.32	668023.41	5867751.05
746.16	727.80	664.10	-1.66	122.16	668034.26	5867746.09
774.96	753.48	689.78	-7.34	133.90	668045.99	5867740.41
803.76	778.76	715.06	-13.55	146.21	668058.30	5867734.20
832.46	803.52	739.82	-20.23	159.09	668071.18	5867727.52
861.36	827.96	764.26	-27.61	172.63	668084.73	5867720.15
890.16	851.97	788.27	-35.52	186.43	668098.52	5867712.23
918.96	875.38	811.68	-43.75	201.04	668113.13	5867704.00
947.66	897.87	834.17	-52.29	216.69	668128.78	5867695.47
967.06	912.96	849.26	-58.36	227.26	668139.35	5867689.40
996.20	935.93	872.23	-67.69	242.57	668154.66	5867680.07
1007.66	945.02	881.32	-71.35	248.52	668160.61	5867676.40
1036.46	967.27	903.57	-80.95	264.07	668176.16	5867666.80
1064.56	987.92	924.22	-90.95	280.29	668192.37	5867656.81
1093.36	1008.29	944.59	-101.69	297.58	668209.67	5867646.06
1122.56	1028.13	964.43	-113.14	315.69	668227.77	5867634.61
1150.86	1046.71	983.01	-124.68	333.64	668245.72	5867623.08
1179.66	1065.42	1001.72	-136.50	352.07	668264.15	5867611.26
1208.36	1084.09	1020.39	-148.14	370.50	668282.58	5867599.62
1237.56	1103.09	1039.39	-159.91	389.29	668301.37	5867587.84
1265.46	1121.25	1057.55	-171.20	407.21	668319.29	5867576.56
1294.56	1140.26	1076.56	-182.96	425.84	668337.92	5867564.80
1323.16	1158.97	1095.27	-194.47	444.16	668356.24	5867553.29
1352.66	1178.28	1114.58	-206.37	463.03	668375.10	5867541.39
1380.71	1196.69	1132.99	-217.73	480.88	668392.96	5867530.04
1409.51	1215.60	1151.90	-229.42	499.19	668411.26	5867518.35
1438.21	1234.44	1170.74	-241.12	517.41	668429.48	5867506.65
1467.01	1253.39	1189.69	-252.89	535.63	668447.70	5867494.88
1479.21	1261.42	1197.72	-257.87	543.33	668455.40	5867489.89
1486.88	1266.46	1202.76	-261.01	548.18	668460.25	5867486.75
1507.18	1279.78	1216.08	-269.41	561.00	668473.07	5867478.36
1535.78	1298.51	1234.81	-281.33	579.03	668491.10	5867466.44
1564.38	1317.30	1253.60	-293.28	596.97	668509.04	5867454.48
1593.18	1336.31	1272.61	-305.30	614.96	668527.03	5867442.47
1621.88	1355.35	1291.65	-317.25	632.81	668544.88	5867430.52
1650.58	1374.47	1310.77	-329.18	650.58	668562.64	5867418.59
1679.38	1393.66	1329.96	-341.12	668.42	668580.49	5867406.65
1708.18	1412.85	1349.15	-353.06	686.28	668598.35	5867394.71
1737.08	1432.09	1368.39	-365.07	704.20	668616.26	5867382.70
1765.88	1451.25	1387.55	-377.07	722.03	668634.09	5867370.70
1794.68	1470.42	1406.72	-389.07	739.86	668651.92	5867358.70
1823.58	1489.64	1425.94	-401.16	757.74	668669.80	5867346.61
1852.38	1508.80	1445.10	-413.23	775.54	668687.60	5867334.55
1881.08	1527.91	1464.21	-425.25	793.25	668705.31	5867322.52
1909.73	1547.00	1483.30	-437.33	810.87	668722.93	5867310.44
1938.48	1566.14	1502.44	-449.53	828.52	668740.58	5867298.25
1967.23	1585.27	1521.57	-461.71	846.19	668758.24	5867286.06
1995.98	1604.40	1540.70	-473.90	863.86	668775.91	5867273.88
2024.68	1623.51	1559.81	-486.11	881.44	668793.49	5867261.66
2039.59	1633.45	1569.75	-492.48	890.56	668802.61	5867255.30
2052.86	1642.30	1578.60	-498.17	898.71	668810.76	5867249.61
2074.92	1656.89	1593.19	-507.51	912.30	668824.35	5867240.27
2103.62	1675.87	1612.17	-519.61	930.11	668842.16	5867228.17
2132.22	1694.88	1631.18	-531.64	947.76	668859.81	5867216.14
2161.02	1714.12	1650.42	-543.76	965.43	668877.48	5867204.02
2189.72	1733.29	1669.59	-555.80	983.08	668895.13	5867191.98
2218.42	1752.46	1688.76	-567.79	1000.75	668912.80	5867179.99
2247.22	1771.70	1708.00	-579.79	1018.51	668930.55	5867167.99
2275.72	1790.71	1727.01	-591.39	1036.30	668948.34	5867156.39
2304.92	1810.17	1746.47	-602.76	1054.87	668966.91	5867145.03
2333.32	1829.12	1765.42	-613.34	1073.18	668985.22	5867134.45
2362.12	1848.36	1784.66	-623.76	1091.90	669003.94	5867124.02
2391.02	1867.68	1803.98	-634.08	1110.76	669022.80	5867113.70
2419.62	1886.75	1823.05	-644.23	1129.49	669041.53	5867103.55
2448.52	1906.02	1842.32	-654.27	1148.55	669060.59	5867093.51
2477.12	1925.04	1861.34	-663.90	1167.62	669079.66	5867083.89
2506.12	1944.23	1880.53	-673.46	1187.15	669099.19	5867074.33
2563.74	1982.28	1918.58	-692.16	1226.16	669138.20	5867055.62
2592.64	2001.35	1937.65	-701.43	1245.80	669157.84	5867046.35
2621.04	2020.12	1956.42	-710.47	1265.11	669177.14	5867037.32
2649.49	2038.94	1975.24	-719.58	1284.39	669196.42	5867028.21
2672.19	2054.00	1990.30	-726.99	1299.68	669211.71	5867020.80
2691.50	2066.87	2003.17	-733.39	1312.58	669224.61	5867014.40
